firstName,middleName,lastName,primaryContact,secondaryContact,emailAddress,gender,totalExperience,relevantExperience,lastCompany,candidateSource,onboardStatus,financialYear,marketOffering,marketSubBusinessLine,competency,subCompetency
Merwyn,Elnora,Riach,528-88-0777,750-33-9840,eriach1r@seattletimes.com,Male,10,16,Indigo,PDAT,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,AFES
Shanda,Xylina,Piddletown,270-02-9567,730-20-9654,xpiddletown1s@skype.com,Female,6,11,Orange,CTH to FTE,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P CIS,AFES
Aldus,Berte,Maro,183-79-0464,699-12-0765,bmaro1t@nasa.gov,Male,10,5,Khaki,Referral,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P,Decipher
Dore,Talya,Stanier,730-18-7982,560-13-0225,tstanier1u@un.org,Male,5,12,Fuscia,Referral,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,D3,SQL DBA
Mariann,Jenilee,Oddie,360-55-1934,755-85-5720,joddie1v@wordpress.org,Female,13,5,Fuscia,CTH to FTE,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P ACTT,Prod Staff
Jamima,Phebe,Auchterlony,204-09-2243,865-27-6525,pauchterlony1w@merriam-webster.com,Female,15,3,Indigo,PDAT,Joined,FY20 P1,National,PROD STAFF,MS&P,Decipher
Cosetta,Maddi,Humphrys,317-34-8226,505-34-6689,mhumphrys1x@house.gov,Female,12,11,Indigo,CTH to FTE,Joined,FY20 P1,Forensic,PROD STAFF,D3,SQL DBA
Cassi,Polly,Bleackly,264-90-3152,812-99-1176,pbleackly1y@deliciousdays.com,Female,1,13,Mauv,Net Sourcing,Joined,FY20 P1,National,PROD STAFF,MS&P LRA,TrueView
Raff,Rhetta,Turfs,150-07-0153,694-20-3742,rturfs1z@csmonitor.com,Male,13,10,Goldenrod,Vendor,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,D3,SQL DBA
Talia,Jenilee,Haysom,612-68-8800,329-33-0903,jhaysom20@360.cn,Female,6,5,Orange,CTH to FTE,Joined,FY20 P1,National,PROD STAFF,Securitization,Financial Technology
Orbadiah,Emera,Farnham,559-49-0803,723-48-1565,efarnham21@bluehost.com,Male,5,10,Aquamarine,CTH to FTE,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P ACTT,Prod Staff
Pancho,Linet,Peverell,527-01-2935,745-29-6330,lpeverell22@tumblr.com,Male,2,14,Purple,Net Sourcing,Joined,FY20 P1,Risk Intelligence,PROD STAFF,D3,SQL DBA
Uta,Norry,Bettridge,237-71-5632,779-66-1911,nbettridge23@vistaprint.com,Female,18,10,Teal,Referral,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P,Decipher
Gwenore,Yelena,Prydden,736-34-3082,593-57-7041,yprydden24@ftc.gov,Female,14,17,Yellow,CTH to FTE,Joined,FY20 P1,Forensic,PROD STAFF,Securitization,Financial Technology
Cece,Mandi,Galilee,146-49-8776,233-19-0789,mgalilee25@e-recht24.de,Male,5,6,Crimson,PDAT,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,Controllership,Accounting Technology
Addison,Josi,Jarrett,424-41-9034,485-69-2254,jjarrett26@uol.com.br,Male,10,8,Teal,Net Sourcing,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,Securitization,Financial Technology
Hyacinthe,Sara,Duligall,642-55-4091,774-75-5558,sduligall27@nydailynews.com,Female,1,13,Red,Vendor,Joined,FY20 P1,Forensic,PROD STAFF,MS&P LRA,TrueView
Sol,Gabey,Sone,451-80-3489,898-99-4083,gsone28@bloomberg.com,Male,10,8,Khaki,Vendor,Joined,FY20 P1,Forensic,PROD STAFF,MS&P ACTT,Prod Staff
Doroteya,Gail,Duferie,650-20-9142,290-03-9267,gduferie29@csmonitor.com,Female,13,18,Goldenrod,Vendor,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher
Darci,Catriona,Have,407-64-8730,173-31-6375,chave2a@angelfire.com,Female,9,16,Goldenrod,PDAT,Joined,FY20 P1,Risk Intelligence,PROD STAFF,Controllership,Accounting Technology
Amandy,Lorry,Garrard,670-40-6113,423-94-5976,lgarrard2b@loc.gov,Female,19,14,Orange,Net Sourcing,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Eryn,Bernie,Lowerson,688-68-4676,406-84-2909,blowerson2c@elpais.com,Female,5,19,Mauv,Vendor,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,ValueD
Alexander,Myrlene,Craft,391-42-6728,863-11-4395,mcraft2d@berkeley.edu,Male,8,20,Blue,Internal Mobility,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P LRA,TrueView
Emera,Faye,Atthowe,669-58-4967,237-87-5525,fatthowe2e@cbslocal.com,Female,9,6,Indigo,Vendor,Joined,FY20 P1,Forensic,PROD STAFF,D3,SQL DBA
Candy,Valeda,Staite,703-85-3209,593-54-4336,vstaite2f@webmd.com,Female,1,3,Khaki,CTH to FTE,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P LRA,TrueView
Pandora,Maitilde,De Vaar,464-78-0941,240-53-7896,mdevaar2g@acquirethisname.com,Female,13,6,Purple,Vendor,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P,Decipher
Peggi,Deeanne,Filipchikov,506-48-7178,314-82-1108,dfilipchikov2h@phoca.cz,Female,2,20,Mauv,Internal Mobility,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,ValueD
Ernestus,Keslie,Barlace,750-45-8335,325-48-4266,kbarlace2i@flavors.me,Male,7,6,Turquoise,Internal Mobility,Joined,FY20 P1,Forensic,PROD STAFF,Securitization,Financial Technology
Helaina,Nessi,Honatsch,656-97-6837,267-50-3723,nhonatsch2j@accuweather.com,Female,19,12,Puce,PDAT,Joined,FY20 P1,National,PROD STAFF,MS&P LRA,TrueView
Lawry,Suzette,Tapin,686-90-2485,301-01-5474,stapin2k@comsenz.com,Male,12,8,Purple,Internal Mobility,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,Securitization,Financial Technology
Elvin,Lorri,Giovannardi,163-35-1679,148-54-7854,lgiovannardi2l@businessinsider.com,Male,14,18,Mauv,Internal Mobility,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,Securitization,Financial Technology
Elli,Eden,Hesse,839-38-0455,634-11-1121,ehesse2m@sciencedirect.com,Female,2,15,Violet,Internal Mobility,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,D3,SQL DBA
Carlos,Jaclyn,Greenstreet,576-95-5169,851-32-3471,jgreenstreet2n@baidu.com,Male,17,8,Violet,Referral,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,ValueD
Allayne,Lisette,Messager,484-86-0454,673-11-5077,lmessager2o@pbs.org,Male,12,1,Fuscia,Referral,Joined,FY20 P1,Forensic,PROD STAFF,MS&P ACTT,Prod Staff
Ciro,Tawsha,Costley,502-91-2748,676-67-0677,tcostley2p@psu.edu,Male,16,11,Goldenrod,Vendor,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Andy,Yoshi,Perroni,391-17-6750,659-65-4967,yperroni2q@ebay.co.uk,Female,9,2,Red,Vendor,Joined,FY20 P1,Forensic,PROD STAFF,Securitization,Financial Technology
Libbie,Esmeralda,Bangle,215-53-0889,424-61-4801,ebangle2r@friendfeed.com,Female,2,9,Teal,Referral,Joined,FY20 P1,Forensic,PROD STAFF,MS&P,Decipher
Coretta,Edithe,Pedrocco,489-54-4481,211-04-9646,epedrocco2s@slashdot.org,Female,19,8,Teal,Referral,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Wolfgang,Marci,Buffin,413-17-7445,765-81-0595,mbuffin2t@ted.com,Male,19,3,Maroon,CTH to FTE,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,Controllership,Accounting Technology
Jakie,Hanni,McLice,537-67-8401,252-72-6104,hmclice2u@mail.ru,Male,15,3,Turquoise,PDAT,Joined,FY20 P1,National,PROD STAFF,Securitization,Financial Technology
Katusha,Natala,Dolan,133-77-3092,413-52-5626,ndolan2v@purevolume.com,Female,11,8,Mauv,PDAT,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P CIS,ValueD
Elizabeth,Bernete,Buxey,872-48-9756,150-82-0892,bbuxey2w@elpais.com,Female,17,3,Orange,PDAT,Joined,FY20 P1,Forensic,PROD STAFF,D3,SQL DBA
Donnie,Ann-marie,Gorgl,672-23-0438,499-54-1604,agorgl2x@slashdot.org,Female,17,19,Indigo,Net Sourcing,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,Controllership,Accounting Technology
Sheila-kathryn,Kalli,Marshalleck,258-77-1251,818-55-0664,kmarshalleck2y@house.gov,Female,9,4,Turquoise,PDAT,Joined,FY20 P1,Risk Intelligence,PROD STAFF,Controllership,Accounting Technology
Justinian,Jaquelin,Took,857-69-6538,861-56-2080,jtook2z@cpanel.net,Male,5,13,Orange,Referral,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P CIS,ValueD
Liuka,Teddie,Boughey,324-76-6973,339-93-7882,tboughey30@techcrunch.com,Female,6,16,Indigo,Internal Mobility,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P LRA,TrueView
Cherice,Marcille,Couroy,119-89-4214,733-01-3218,mcouroy31@list-manage.com,Female,11,20,Teal,Internal Mobility,Joined,FY20 P1,Forensic,PROD STAFF,Controllership,Accounting Technology
Ewell,Leda,Guyan,193-46-5081,227-72-6167,lguyan32@digg.com,Male,15,15,Aquamarine,Vendor,Joined,FY20 P1,Forensic,PROD STAFF,MS&P,Decipher
Waylon,Alicea,Musgrove,292-46-3052,205-49-5841,amusgrove33@naver.com,Male,4,16,Mauv,Net Sourcing,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,D3,SQL DBA
Cletus,Patrizia,Higbin,492-01-4930,783-49-1353,phigbin34@barnesandnoble.com,Male,14,1,Green,Referral,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,D3,SQL DBA
Steven,Sisely,Bondley,515-87-9138,595-68-7346,sbondley35@google.co.jp,Male,1,15,Green,PDAT,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P ACTT,Prod Staff
Darbee,Kelsi,Beakes,130-83-5140,378-89-7307,kbeakes36@who.int,Male,1,2,Yellow,Referral,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P LRA,TrueView
Ardella,Lydie,Heelis,688-30-6142,266-55-3121,lheelis37@123-reg.co.uk,Female,3,20,Yellow,Referral,Joined,FY20 P1,Forensic,PROD STAFF,MS&P ACTT,Prod Staff
Glad,Audry,Cawcutt,174-86-1070,223-65-7435,acawcutt38@sciencedirect.com,Female,1,8,Indigo,PDAT,Joined,FY20 P1,National,PROD STAFF,MS&P LRA,TrueView
Rees,Lynde,Misken,295-10-6094,370-95-6177,lmisken39@hugedomains.com,Male,19,19,Indigo,Internal Mobility,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher
Bartholomew,Lenette,Howler,767-60-2975,730-11-3615,lhowler3a@t.co,Male,7,2,Green,CTH to FTE,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,Securitization,Financial Technology
Jaye,Dacie,Van der Spohr,765-46-5213,189-42-6545,dvanderspohr3b@harvard.edu,Male,3,20,Pink,CTH to FTE,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P ACTT,Prod Staff
Lavina,Madeleine,Crummy,875-18-2331,790-38-4833,mcrummy3c@telegraph.co.uk,Female,17,9,Turquoise,CTH to FTE,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P LRA,TrueView
Wiley,Manon,Rosel,593-48-3023,575-47-4202,mrosel3d@etsy.com,Male,2,12,Violet,Internal Mobility,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P,Decipher
Josh,Anthiathia,Menary,218-78-4876,304-65-7492,amenary3e@about.me,Male,12,16,Goldenrod,PDAT,Joined,FY20 P1,Forensic,PROD STAFF,Securitization,Financial Technology
Rosalie,Sybil,Pigott,352-75-7732,519-02-4723,spigott3f@discuz.net,Female,3,7,Blue,Net Sourcing,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,D3,SQL DBA
Aveline,Marleah,Durward,793-18-1701,442-95-6926,mdurward3g@de.vu,Female,3,11,Purple,Internal Mobility,Joined,FY20 P1,Forensic,PROD STAFF,MS&P LRA,TrueView
Alexandro,Rani,Glastonbury,254-03-8919,304-54-6398,rglastonbury3h@hhs.gov,Male,11,3,Goldenrod,Vendor,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Gardiner,Felisha,Gherardini,291-57-3378,384-65-9520,fgherardini3i@wiley.com,Male,6,12,Maroon,PDAT,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P ACTT,Prod Staff
Irvine,Carree,Headrick,837-12-5746,453-71-1125,cheadrick3j@upenn.edu,Male,4,1,Red,Referral,Joined,FY20 P1,Forensic,PROD STAFF,MS&P,Decipher
Brittan,Juliane,Paten,756-63-3123,287-24-2379,jpaten3k@businessinsider.com,Female,19,16,Violet,Internal Mobility,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,D3,SQL DBA
Warner,Maire,Stamper,174-02-1069,467-83-0308,mstamper3l@last.fm,Male,13,18,Mauv,Vendor,Joined,FY20 P1,Forensic,PROD STAFF,MS&P CIS,ValueD
Laura,Lizbeth,Sparshett,456-89-4948,120-56-5515,lsparshett3m@xinhuanet.com,Female,10,18,Red,PDAT,Joined,FY20 P1,National,PROD STAFF,Securitization,Financial Technology
Tamqrah,Mariette,Oxherd,559-81-4738,650-01-4449,moxherd3n@blogspot.com,Female,15,18,Puce,PDAT,Joined,FY20 P1,Forensic,PROD STAFF,Controllership,Accounting Technology
Gwyn,Codee,Neligan,610-83-6959,881-24-9720,cneligan3o@over-blog.com,Female,20,14,Orange,PDAT,Joined,FY20 P1,Forensic,PROD STAFF,MS&P,Decipher
Derward,Gill,Cumberlidge,164-73-6313,677-28-1542,gcumberlidge3p@businessinsider.com,Male,17,3,Goldenrod,Internal Mobility,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P ACTT,Prod Staff
Brit,Catriona,Wetter,751-25-1804,379-26-1550,cwetter3q@photobucket.com,Female,9,2,Fuscia,CTH to FTE,Joined,FY20 P1,Risk Intelligence,PROD STAFF,Securitization,Financial Technology
